,date,score,sentiment,price
148,2018-08-06,0.9674,1.0,11387.099609375
149,2018-08-07,0.984,1.0,11389.4501953125
150,2018-08-08,0.9833,1.0,11450.0
151,2018-08-09,0.7845,1.0,11470.7001953125
152,2018-08-10,-0.9868,-1.0,11429.5
153,2018-08-13,0.9432,1.0,11355.75
154,2018-08-14,0.8979,1.0,11435.099609375
155,2018-08-16,-0.9169,-1.0,11385.0498046875
156,2018-08-17,0.9571,1.0,11470.75
157,2018-08-20,0.995,1.0,11551.75
158,2018-08-21,0.9774,1.0,11570.900390625
159,2018-08-23,0.9423,1.0,11582.75
160,2018-08-24,-0.8338,-1.0,11557.099609375
161,2018-08-27,-0.9153,-1.0,11691.9501953125
162,2018-08-28,0.9958,1.0,11738.5
163,2018-08-29,0.9485,1.0,11691.900390625
164,2018-08-30,-0.9862,-1.0,11676.7998046875
165,2018-08-31,0.5859,1.0,11680.5
166,2018-09-03,0.0,1.0,11582.349609375
167,2018-09-04,0.9859,1.0,11520.2998046875
168,2018-09-05,-0.9652,-1.0,11476.9501953125
169,2018-09-06,0.9503,1.0,11536.900390625
170,2018-09-07,0.2732,1.0,11589.099609375
171,2018-09-10,-0.9661,-1.0,11438.099609375
172,2018-09-11,0.8519,1.0,11287.5
173,2018-09-12,0.9709,1.0,11369.900390625
174,2018-09-14,0.9903,1.0,11515.2001953125
175,2018-09-17,0.7096,1.0,11377.75
176,2018-09-18,0.9106,1.0,11278.900390625
177,2018-09-19,0.9919,1.0,11234.349609375
178,2018-09-21,0.9809,1.0,11143.099609375
179,2018-09-24,0.9386,1.0,10967.400390625
180,2018-09-25,0.3049,1.0,11067.4501953125
181,2018-09-26,0.979,1.0,11053.7998046875
182,2018-09-27,-0.9239,-1.0,10977.5498046875
183,2018-09-28,-0.2732,-1.0,10930.4501953125
184,2018-10-01,0.9684,1.0,11008.2998046875
185,2018-10-03,-0.9928,-1.0,10858.25
186,2018-10-04,0.9794,1.0,10599.25
187,2018-10-05,-0.9932,-1.0,10316.4501953125
